Date	Id	AuthorId	Timestamp	PlaceId	Text	Retweet	Reply	Like	Quote	Impression
20230203	1621325672730992643	211000251	2023-02-03 01:52:17+00:00	12344344f5160002	Dante Stills showed his patience and quickness getting involved in a tackle to help derail the Wests first offensive drive	3	1	37	0	3032
20230203	1621630171227774978	1166471949431820288	2023-02-03 22:02:15+00:00	e4a0d228eb6be76b	They tryna derail the tank after shitting on them all year	0	0	0	0	249
20230203	1621621974538620929	1186570842815250432	2023-02-03 21:29:41+00:00	3797791ff9c0e4c6	First Jo is a paid social media advocate for Dems Second, even she is astounded that incompetent Biden couldnt derailjob numbers or surpass the high water mark in regards to the economy especially jobs	0	0	4	0	21
20230203	1621621093395038208	1186570842815250432	2023-02-03 21:26:11+00:00	3797791ff9c0e4c6	You mean even Mr Incompetent cannot derail the Trump job numbers Let me know when you surpass the Trump high water mark in regards to jobs	0	0	0	0	2
20230203	1621590732715827200	636415651	2023-02-03 19:25:33+00:00	0df0aee1185a01ba	was Waiting to Derail your first album?	0	1	1	0	14
20230203	1621589939920969731	1316281307991863296	2023-02-03 19:22:24+00:00	016dd16236becb61	You didnt develop the citizens capacity in any humanistic way, you built rail lines, the undeveloped minds took out the rail tracks making trains derail, pay a visit to Abuja and see how almost all the man hole covers have been removed and sold out as scrap	0	1	0	0	29
20230203	1621537816596611073	135557534	2023-02-03 15:55:16+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth story	0	0	2	0	72
20230203	1621509188848611330	1602672091001769984	2023-02-03 14:01:31+00:00	1c69a67ad480e1b1	Nobody is disputing your facts The article is about women not men Can we have a discussion without unrelated topics thrown in to derail the conversation being had? This started because the original post was pushing erroneous information about 2 Blk women scholars	0	1	8	0	248
20230203	1621430933436997634	1522489128956440576	2023-02-03 08:50:33+00:00	00c769811539c617	Can some one ask Tinubu and his supporters how the naira redesign will thwart the will of the people and derail the election? What does the naira redesign has to do with the election Becos of all the candidates and party they seem to be the only people complaining	0	0	0	0	11
20230203	1621487041044176896	635816154	2023-02-03 12:33:31+00:00	6a050a2773fd3cc4	Ham scare me to death Where are the turnovers, the bad shot selection and so on that tend to derail the game by Westbrook	0	0	0	0	55
20230203	1621476389789782021	135557534	2023-02-03 11:51:11+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth story	0	1	2	0	65
20230203	1621474648742559745	135557534	2023-02-03 11:44:16+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth which will never sustain	0	0	2	0	67
20230203	1621474385025732609	135557534	2023-02-03 11:43:13+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth which will never sustain	0	1	2	0	155
20230203	1621448969909059584	135557534	2023-02-03 10:02:14+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth Such dirty foul play will never sustain	0	1	2	0	403
20230203	1621448708654247942	135557534	2023-02-03 10:01:11+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth which will never sustain	0	0	0	0	185
20230203	1621488093856690178	135557534	2023-02-03 12:37:42+00:00	404494447ad0eb09	Hindenburg Research report on Adani Enterprise is the sequel of BBC Documentry Part II West is terribly disturbed by the stupendous growth of India Inc Such malicious report is only intendto derail Indias growth story	0	0	1	0	48
20230204	1621918965487308801	803668512954720256	2023-02-04 17:09:49+00:00	125a714e2a35da7d	Its a derailment in a childs educational, and social learning and development	0	1	1	0	221
20230204	1621916077742768129	305985488	2023-02-04 16:58:21+00:00	3b77caf94bfc81fe	 	0	0	0	0	6
20230204	1621914280277774336	423266680	2023-02-04 16:51:12+00:00	01a4a1e153e55b20	Trying so hard to derail Uniteds title charge 	0	1	1	1	395
20230204	1621913215859826694	1582434703721828357	2023-02-04 16:46:59+00:00	0be8f6b1807525ef	UPDATE The EPA has set up make shift air monitoring systems in the village of East Palestine to check air quality from the train derailment and subsequent chemical fire that is still burning here Shelter in place is still ongoing for people living near the fire	17	1	26	4	12396
20230204	1621905481018097665	15963173	2023-02-04 16:16:14+00:00	9531d4e3bbafc09d	Ive seen tanker specs listed that comply with vinyl chloride requirements in a length of 53 ft About 4 or 5 car lengths from the rail alignment to the tank battery Gross load weight could be as much as 236k pounds Thats the equivalent of 3 fully loaded semi trucks	0	0	3	0	149
20230204	1621870021143052290	733710331550310400	2023-02-04 13:55:20+00:00	00fa17aa00b810c9	I thought am thinking wrongly This thing can derail you and in the end ukuwe laughing stone pale kwa familia	1	0	2	0	93
20230204	1621881591017390080	304359949	2023-02-04 14:41:19+00:00	208d28e57bdc12e9	Youdo understand that it will not go into Elons pocketitll go into Teslas profits which will then be reinvested into transitioning the world to sustainable energyand oh yes increase all TSLA investors equitybut hey why let derail stop you hating	0	0	1	0	54
20230204	1621873285842538498	184359090	2023-02-04 14:08:18+00:00	0fc2680c30955000	Start of the 2023with rugby the focus after weeks of offfield chaos Could loss of GibsonPark in addition to Furlong derail Ireland? Atmosphere building nicely	0	0	1	0	1313
20230204	1621919427670249473	981702713066033152	2023-02-04 17:11:40+00:00	01a9a39529b27f36	None of that mattersIf you believe that there was a coordinated initiative to derail his Presidency, the correct solution is to vote him in again and let him run amok on everyone who stabbed him in the backThere has to be price for fourplus years of continual sedition	0	1	0	0	58
20230204	1621867250163585030	86831012	2023-02-04 13:44:19+00:00	6b4972f8e32f4e32	How does a train carrying 100 tanks of oil, derail, and of all things, hits a gas station? What the hell is going on in this country? Too many disastrous coincidences!	1	6	23	0	1501
20230204	1621864170386853889	1257065658447257600	2023-02-04 13:32:05+00:00	efeb0f4d475125fa	PA DARLINGTON TWP SPECIALOTHER A SHELTER IN PLACE HAS BEEN ORDERED DUE TO POSS CHEMICAL RELEASE FROM THE SMOKE FROM THE TRAIN DERAILMENT IN EAST PALESTINE OH UEA01	0	0	3	1	561
20230204	1621886060773998593	32611773	2023-02-04 14:59:04+00:00	660db7c8f1d85fd3	I believe the last time I saw updates no injuries but evacuations were needed Massive derailment 	0	0	0	0	87
20230204	1621922320053944320	318830893	2023-02-04 17:23:09+00:00	43c61356db624373	50car train derailment in Ohio causes massive fire, evacuations	0	0	0	0	16
20230204	1621939705620070407	1388337031	2023-02-04 18:32:14+00:00	3df0e3eb1e91170b	And still no information on what exactly the train was carryingSeems like theyre deliberately withholding that information	0	1	2	0	74
20230204	1621924524953407492	1199433022891839494	2023-02-04 17:31:55+00:00	1010ecfa7d3a40f8	Bets on this train being full of eggs and food!	0	0	0	0	21
20230204	1621931926507356161	1138233401394249728	2023-02-04 18:01:19+00:00	b305720e3539acb2	About 50 cars of the train derailed in East Palestine, near Ohios border with Pennsylvania There were no immediate reports of injuries	0	0	0	0	64
20230204	1621863974856785921	916774874575704064	2023-02-04 13:31:19+00:00	de599025180e2ee7	Fiancés hometown had a a train derail and catch fire	0	2	2	0	824
20230204	1621942034129903616	570693830	2023-02-04 18:41:29+00:00	521b6f591c4b3ce8	The great thing about Brexit is it splits all the parties and BBC staff and definitely majority for RemainIts so obvious that many people still think they can derail democracy They have no real respect for democracy	0	1	1	1	79
20230204	1621943965787328512	2786251505	2023-02-04 18:49:10+00:00	0be8f6b1807525ef	Fire amp thick black smoke billowing 16 hours later after a train derailment in East Palestine, OH A mandatory evacuation order remains in effect for people who live within a 1mile radius of the derailment Amazingly, no injuries	15	0	38	0	8873
20230204	1621945341762277377	2786251505	2023-02-04 18:54:38+00:00	0be8f6b1807525ef	The East Palestine High School gym turned into a shelter after a major train derailment amp fire Friday night Evacuations followed for people who live within a onemile radius of the site The Red Cross tells me they helped anout 50 residents	3	0	17	0	4018
20230204	1621949775732932610	1582434703721828357	2023-02-04 19:12:15+00:00	0be8f6b1807525ef	Presser just wrapped in East Palestine Takeaways Residence continue to shelter in place till further notice Scene is still dangerous Waiting on Norfolk Southern to clear scene for FD to put out fire Vinyl chloride was on train Air quality still safe in village More	1	0	3	0	630
20230204	1621957418073686017	1257065658447257600	2023-02-04 19:42:37+00:00	dd9c503d6c35364b	Picture of the East Palestine train derailment today, this picture came from associated press	8	2	24	0	3174
20230204	1621967255163609088	1080323416476004353	2023-02-04 20:21:42+00:00	c3f37afa9efcf94b	Tracks being on fire due to derailment means you get to run fewer trains and have a better operating ratio	0	0	16	0	406
20230204	1621978296618557441	50879834	2023-02-04 21:05:35+00:00	14ec2fa66c512d73	The Cobra was tremendous Am I wrong in remembering that drugs would later derail his career?	0	0	0	0	45
20230204	1622009500721872896	372277855	2023-02-04 23:09:35+00:00	7c1a8644282d6a92	We are seeing a very dangerous to inhale plume of vinyl chloride say media This can pose a danger to human health and is a carcinogen Anyone in this area should shelter in place!	0	1	5	0	830
20230204	1622011068376842240	1569814055241809922	2023-02-04 23:15:48+00:00	3b77caf94bfc81fe	I just about fell over when I heard this just now Its my Dads hometown of East Palestine Ohio Not much happens thereIts just outside of Youngstown Ohio	0	0	1	0	162
20230204	1622015454003830784	23434114	2023-02-04 23:33:14+00:00	946ccd22e1c9cda1	Train derailment causes massive fire, evacuations in Ohiovia	0	0	0	0	202
20230204	1621922996108623874	129700587	2023-02-04 17:25:50+00:00	0c9618685ec8469f	50car train derailment in Ohio causes massive fire, evacuations	0	0	0	0	45
20230204	1621862166126018563	1391523923058118657	2023-02-04 13:24:07+00:00	de599025180e2ee7	Is the fire still ongoing? Itll take me 3 hours or so to get there Mainly just want to get the drone on the derailment	0	1	1	0	68
20230204	1621864274095128577	1257065658447257600	2023-02-04 13:32:30+00:00	efeb0f4d475125fa	OH EAST PALESTINE TRAIN DERAILMENT 1020 EAST TAGGART RD UD STILL HVY FIRE SHWG W EXPLOSIONS, RESIDENCE IN VICINITY ARE BEING ASKED TO EVACUATE UEA01	0	0	0	0	421
20230204	1621841138633121792	1242791850	2023-02-04 12:00:34+00:00	3fdd3a62ae058de9	It sounds really like they are ultimately teaching media manipulation The Technology and Social Change Project TaSC explores media manipulation as a means to control public conversation, derail democracy, and disrupt society	0	0	0	0	22
20230204	1621667183649505282	1479170273471565835	2023-02-04 00:29:20+00:00	e0060cda70f5f341	Front office cant let this issue with Bones fester and cause a rift in the locker room He needs to be gone asap This team is primed for big things and cant let stupid things like this derail them	0	2	8	0	851
20230204	1621685299658256384	59511303	2023-02-04 01:41:19+00:00	159279f05be2ade4	admitting he has intrusive thoughts, about the urge to say something on air that would derail his career, is all I needed to hear today Made my evening 	0	0	1	0	33
20230204	1621711474589667330	988834331018833920	2023-02-04 03:25:20+00:00	6e276f099bcab5b5	BREAKING Police have issued a stayinplace order for all East Palestine residents Well have the latest onat 11 with the latest on this developing story	1	1	2	0	621
